feature_group	feature	Pinnacle Cart	Mal's e-commerce	osCommerce	Bigcommerce	Bitcart	24Seven Cart	FoxyCart	UniMerchant	Prestashop	Claim The Web
Features	Add Product Attributes	1	0	1	1	1	1	0	1	1	1
Features	Affiliates Program	1	1	0	1	1	1	0	1	1	1
Features	Content Management	1	0	0	1	1	1	1	1	1	1
Features	Customer Registration	1	1	0	1	1	1	1	1	1	1
Features	Design Features	1	1	1	1	1	0	1	1	1	1
Features	Digital Goods	1	1	0	1	1	1	0	1	1	1
Features	Edit Customers	0	0	0	1	0	1	0	0	1	0
Features	Edit Product Order	1	0	1	1	1	0	0	0	0	1
Features	Email When Sale is Made	1	1	0	1	1	1	1	1	1	1
Features	Low Stock Alerts	1	1	1	1	1	1	0	1	1	1
Features	Mobile User Interface	1	0	0	1	1	0	0	1	1	1
Features	Multi-Store Support	0	1	0	1	1	0	1	1	1	0
Features	Newsletters	1	0	1	1	1	1	0	0	1	1
Features	One Page Checkout	1	0	0	1	1	0	1	0	1	1
Features	Product Reviews	1	0	1	1	1	1	1	1	1	1
Features	Search Engine Optimization Tools	1	1	0	1	1	1	1	1	1	1
Features	Search Reports	1	1	1	0	0	1	0	1	1	1
Features	Site Search	1	0	0	1	1	1	1	1	1	1
Features	Spreadsheet Database Upload	0	0	0	1	0	1	0	1	1	0
Features	SSL Support	1	1	1	1	1	1	1	0	1	1
Features	Unlimited Products	1	1	0	1	1	1	1	1	1	1
Features	Wish List	1	0	0	1	1	1	0	1	1	1
Features	Inventory Reports	1	1	1	1	1	1	1	1	1	1
Features	Sales Reports	1	1	1	1	1	1	1	1	1	1
SEO and Design Features	Auto-Generated Sitemaps	1	0	1	1	1	0	0	1	1	1
SEO and Design Features	Breadcrumb Navigation	1	0	0	1	1	0	1	0	1	1
SEO and Design Features	Bulk Product Import/Export	1	0	0	0	1	1	1	1	1	1
SEO and Design Features	Custom SEO Tags	1	0	0	1	1	1	1	1	1	1
SEO and Design Features	Dedicated IP Address	1	0	0	0	0	0	0	0	0	0
SEO and Design Features	Drag and Drop Design	1	0	0	0	1	0	0	0	1	1
SEO and Design Features	Duplicate Content Checker	0	0	0	0	0	0	0	1	0	0
SEO and Design Features	Existing Site Migration	0	0	1	1	0	0	0	0	0	1
SEO and Design Features	Modifiable HTML/CSS	1	1	1	1	1	1	0	1	0	1
SEO and Design Features	No Graphic Design Necessary	0	0	0	0	0	0	0	0	1	1
SEO and Design Features	No Programming Necessary	1	0	0	0	0	0	0	0	1	1
SEO and Design Features	Optimized URLs	1	1	1	1	1	1	0	0	1	1
SEO and Design Features	Site Templates	1	0	1	1	1	1	1	1	1	1
SEO and Design Features	Unlimited Store/Product Categories	1	1	0	1	1	1	1	1	1	0
SEO and Design Features	WYSIWYG Editor	1	0	0	1	1	0	0	1	1	1
SEO and Design Features	Bulk Image Upload	1	1	1	1	1	1	1	1	1	1
SEO and Design Features	Store/Product Subcategories	1	1	1	1	1	1	1	1	1	1
Customer Management Features	Abandonment Tracking	1	0	0	1	1	1	0	0	0	1
Customer Management Features	Call Logs	1	0	0	0	0	0	0	0	0	0
Customer Management Features	Customer Account Creation	1	1	0	0	0	1	1	1	1	1
Customer Management Features	Customer Contact List	1	0	0	0	1	1	1	0	0	1
Customer Management Features	Customer Order History	0	1	1	1	1	1	0	1	1	1
Customer Management Features	Customer Profiles	1	0	0	1	1	1	1	0	1	1
Customer Management Features	Customer Specific Offers	0	1	0	0	0	1	0	1	1	0
Customer Management Features	Support Desk	1	1	1	1	1	0	0	1	1	1
Shipping Features	Custom Shipping Rules	1	0	0	0	1	1	1	1	1	1
Shipping Features	Drop Shipping	1	0	0	1	0	1	0	1	0	1
Shipping Features	Fedex Price Lookup	1	1	1	1	1	0	1	0	1	1
Shipping Features	Flat Rate Shipping	1	0	0	1	0	0	1	0	1	0
Shipping Features	Heavy Freight Shipping	1	0	0	0	0	0	0	0	0	0
Shipping Features	International Postage Fee Lookup	1	0	0	1	0	0	0	0	1	1
Shipping Features	Item Box Placement	1	0	0	0	0	0	0	0	0	1
Shipping Features	Label Printing	1	0	0	0	0	0	0	0	0	1
Shipping Features	Live Rate Shipping	0	0	0	0	0	0	1	0	0	0
Shipping Features	Real Time Package Tracking	1	0	0	0	1	0	0	1	0	1
Shipping Features	Shipping Automation	0	0	0	0	1	0	0	0	0	0
Shipping Features	Shipping by Location	1	1	0	0	1	1	0	0	0	1
Shipping Features	Shipping Consolidation	1	0	0	0	0	0	0	0	0	0
Shipping Features	Shipping Weight Calculator	0	1	1	1	1	1	0	0	0	0
Shipping Features	Tax by Country	1	1	1	1	1	1	1	0	1	1
Shipping Features	Tax by State	1	1	1	1	1	1	1	0	1	0
Shipping Features	UPS Price Lookup	1	1	1	1	1	1	1	0	1	1
Shipping Features	USPS Price Lookup	1	1	1	1	1	1	1	0	1	1
Shipping Features	Weight Based Shipping	1	1	1	0	1	1	1	0	1	1
Shipping Features	Product Specific Tax Rules	1	1	1	1	1	1	1	1	1	1
Shipping Features	Shipping Price Calculator	1	1	1	1	1	1	1	1	1	1
Hosting and Security Features	Daily Backup	1	0	0	0	1	0	0	0	0	1
Hosting and Security Features	Data Encryption	1	0	0	0	0	1	1	1	1	1
Hosting and Security Features	Data Indexing	0	0	0	0	0	0	0	0	1	0
Hosting and Security Features	Database Caching	0	1	0	0	0	1	0	0	0	0
Hosting and Security Features	Dedicated SSL	0	0	0	1	1	1	1	0	1	1
Hosting and Security Features	Firewall Protection	0	0	0	1	0	0	0	0	0	0
Hosting and Security Features	FTP Access	1	0	0	0	1	0	0	0	0	1
Hosting and Security Features	Injection Monitoring	0	0	0	1	0	0	0	0	1	0
Hosting and Security Features	IP Blocking	0	0	0	0	0	0	0	1	0	0
Hosting and Security Features	PCI Compliance	1	0	1	1	1	1	1	0	1	1
Hosting and Security Features	Search Caching	1	0	0	0	0	0	0	0	0	0
Hosting and Security Features	Shared SSL	1	1	1	1	0	1	1	0	1	1
Hosting and Security Features	Suspicious Activity Tracking	0	0	0	0	1	0	0	0	1	0
