g	f	24SevenOffice	4PM	5PM	Active Collab	Agile Bench	AgileWrap	AgileZen	Apptivo Projects	Asana	Assembla	Axosoft	Basecamp 3	Breeze	Brightpod	Cerebro	Clarizen	Collabtive	Crocagile	DevPlanner	Dolphinity Organiser	Easy Redmine	EasyProject	EasyProjects	EcoSys EPC	Endeavour	Feng Office	Flying Donut	FogBugz	GanttProject	Gemini	Genius Project	Getquantify	Glasscubes	Hansoft	Happytodos	Huddle	HumanEdj	Hydra PSA	Hyperoffice	Innotas	JIRA	KanbanTool	KeyedIn Projects	LeaderTask	Mavenlink	Merlin Project	Microsoft Project	MindManager	Mingle	MinuteMan	M̩tier	OmniPlan	OneDesk	OnePMO	OnlyOffice	OpenAir	OrangeScrum	PMware	PPM Litecycle	Pivotal Tracker	Planbox	Planisware	PlanningForce	Podio	ProTasker	ProWorkflow	Producteev	ProjeQtOr	Project Insight	Project Portfolio Office	Project X	Project.net	ProjectLibre	ProjectManager.com	Projecturf	ProofHub	Psoda	Pure Project Tools	QL Project	QuickBase	RationalPlan	Redbooth	SAP ERP	Sciforma	ScrumNinja	Seavus Project Viewer	Service Desktop Pro	Smart WorkTime Tracker	Smartsheet	SoftAgile	SpiraPlan	Steelray	TaskJuggler	TeamPulse	Teamwork Projects	Tenrox	Todoist	Trac	Trakeze	Trello	Trigger	Twproject	Unanet	UniPhi	Virage Project Monitor	Virtual Ticket	VisionProject	Visma Severa	Vorex PSA	Waypoint	Webplanner	Wimi	Workfront	Wrike	Yodiz	ZilicusPM	ZingProject	]project-open[	dotProject	eStudio	hiTask	iCoordinator	iMeet Central	iTaskX	onepoint PROJECTS	tinyPM
Agile Project Management	Burndown Charts	0.0	0.0	0.0	0.0	1.0	1.0	1.0		0.0	1.0	1.0	0.0		1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1.0	1.0	0.0	0.0		0.0	0.0	0.0	1.0	1.0	0.0		1.0	1.0	0.0	1.0		1.0	1.0	0.0	0.0			0.0	0.0	0.0	1.0		0.0	1.0	0.0	1.0			1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0		0.0	1.0	1.0
Agile Project Management	Card View			1.0	0.0	1.0	1.0	1.0	0.0		1.0	1.0		1.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		0.0		0.0	0.0	1.0	1.0		0.0	0.0	0.0		0.0	1.0	0.0	0.0	0.0	0.0		0.0	0.0		1.0	0.0		0.0	1.0		1.0	0.0	0.0	0.0	0.0	0.0		1.0		0.0	0.0		0.0	1.0	0.0	0.0		0.0			0.0	1.0	0.0		0.0	1.0		1.0	1.0	0.0	0.0	1.0	0.0			0.0	1.0	0.0		0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	1.0
Agile Project Management	Cycle Time Analytics			0.0				1.0		1.0				1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		0.0		0.0		0.0	0.0		1.0				0.0		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0	0.0		0.0	0.0	0.0		1.0	1.0	0.0			1.0	0.0	0.0	0.0			0.0		1.0	0.0	0.0	0.0	1.0		0.0			0.0		0.0		0.0	1.0				0.0		0.0			0.0	1.0	0.0					0.0	0.0	1.0	0.0	1.0	0.0		1.0		1.0		0.0	0.0	0.0	0.0			0.0		1.0	0.0	0.0	0.0		1.0	0.0	
Agile Project Management	Kanban			0.0	1.0	0.0	1.0	1.0		0.0	1.0	1.0		1.0	1.0	0.0	0.0	0.0	1.0			1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	1.0	1.0	0.0		0.0	0.0		0.0	1.0			0.0	0.0	0.0	0.0		1.0	1.0	0.0		1.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0	0.0		0.0		0.0	0.0	1.0	0.0			0.0	1.0	1.0			1.0		0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		1.0		0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0
Agile Project Management	Manage Product Backlog		0.0	0.0	0.0	1.0	1.0	1.0			1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0			1.0		1.0		1.0	0.0		0.0	0.0	0.0		0.0	1.0	0.0	1.0	0.0	1.0		0.0			1.0	0.0	1.0	1.0	1.0		0.0	0.0		0.0	1.0	0.0		0.0	0.0	0.0	0.0			1.0	0.0	0.0		0.0	0.0		1.0	0.0	0.0		0.0	1.0	1.0	1.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0
Agile Project Management	Scrum Methodology			0.0	0.0	0.0	1.0	1.0			1.0	1.0			1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0		1.0	0.0	0.0	1.0	1.0		0.0	0.0	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0			1.0	0.0		1.0	1.0	1.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0			0.0		0.0	1.0	0.0	1.0		0.0	0.0	1.0	1.0		1.0	1.0	0.0	0.0	1.0	0.0	0.0			1.0		0.0	0.0		1.0			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0				0.0
Agile Project Management	User Stories		0.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	1.0	0.0	1.0		1.0	0.0		1.0	1.0	1.0	1.0	1.0		0.0	0.0	0.0	1.0	1.0	1.0		0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0		0.0	1.0		1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0			0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0		1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0		1.0	0.0	1.0
Agile Project Management	Version Control		0.0	1.0	0.0		1.0	1.0			1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	1.0	0.0			0.0		1.0		0.0	1.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0		1.0			1.0	0.0	0.0	0.0	1.0		0.0	0.0		0.0	1.0	0.0		0.0	0.0	1.0	0.0		0.0	1.0	0.0	0.0		0.0	0.0		1.0				0.0	1.0	0.0	1.0		0.0	0.0	0.0	0.0			0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0		0.0		0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0		1.0	1.0	0.0
Budget and Expenses	Create Budgets	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0		1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0		0.0	1.0	1.0	0.0	0.0	1.0	0.0		0.0	1.0	0.0	0.0		1.0	0.0	1.0	1.0	0.0	0.0		0.0	1.0	0.0		1.0	0.0	0.0	0.0	1.0			1.0	0.0	1.0	0.0		1.0	1.0	1.0	0.0			1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0		1.0	1.0	1.0
Budget and Expenses	Forecast Budgets	1.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0		1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0		1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0		1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0		1.0	0.0	1.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0				0.0	1.0	0.0		1.0	1.0	0.0	0.0	1.0			1.0	0.0	1.0	0.0		1.0	1.0	1.0	0.0	1.0		1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
Budget and Expenses	Manage Expenses	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0		1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0		1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0
Budget and Expenses	Set Hourly Rates	0.0	1.0	0.0	1.0		1.0		0.0	0.0	0.0	0.0	0.0		1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0			1.0			0.0	1.0	1.0		0.0	1.0		1.0	0.0		0.0		0.0	0.0	0.0			1.0		0.0	1.0	1.0	0.0		0.0		1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0		1.0		1.0	0.0	1.0		0.0				0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0				1.0	1.0	0.0		0.0	0.0	0.0	0.0	1.0			0.0	0.0	1.0	0.0		0.0		0.0		1.0		1.0		0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Budget and Expenses	Track Burn Rate	0.0		0.0		0.0		0.0	1.0		1.0	0.0			1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0		0.0	1.0		0.0		0.0	0.0		0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0		0.0	0.0		0.0	1.0		0.0	1.0		0.0	0.0	0.0	0.0	1.0	0.0		1.0	0.0	0.0	0.0	0.0		1.0	0.0	0.0		1.0			1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0		0.0	1.0			0.0	0.0	1.0	1.0		1.0	0.0		0.0			1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0		0.0	0.0	
Budget and Expenses	Track Project Hours	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0		1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	0.0	1.0	1.0		1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Budget and Expenses	Track Staff Hours	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0		1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0		0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0		1.0	1.0	0.0	1.0	1.0		1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
Collaboration	Create Teams/Groups		0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0		1.0	1.0	0.0	0.0		0.0	0.0	1.0	1.0	1.0	0.0		1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0		1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0		1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0		0.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
Collaboration	Document Management		1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0		1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0		0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
Collaboration	Forums		1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0		1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0		1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0		1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
Collaboration	Messaging or Instant Messaging		0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0		0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0		1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0		1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
Collaboration	RSS Feed		0.0	1.0	1.0	0.0	0.0		1.0	0.0	1.0	0.0	1.0		1.0	0.0	1.0	1.0	0.0			1.0	0.0	0.0	0.0	0.0	1.0		0.0	0.0	0.0	0.0	1.0	1.0		0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0			0.0		0.0	1.0			0.0		0.0		0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0		0.0		0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0		0.0		1.0		1.0	1.0	1.0	0.0	0.0	0.0	1.0		0.0		0.0		0.0				0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
Collaboration	Social Collaboration Platform		0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0		0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0		0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	1.0			1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
Collaboration	Web Conferencing			1.0	1.0	0.0	0.0				0.0	0.0		0.0	1.0	0.0	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0			0.0		0.0		0.0	0.0				0.0		0.0	0.0			0.0						0.0	1.0		0.0	0.0		0.0				1.0	0.0		0.0	0.0	1.0	0.0			0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0			0.0	0.0						0.0			0.0	0.0	0.0	0.0	1.0	1.0				0.0	0.0	1.0		1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
Collaboration	Wiki		1.0	1.0	0.0	0.0	1.0	1.0	1.0		1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0		1.0	0.0	0.0	0.0	0.0	1.0			1.0	0.0		1.0		1.0			0.0	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0		1.0	0.0		0.0	1.0	0.0	0.0	1.0		0.0	0.0	0.0			0.0		1.0	1.0	1.0	0.0	0.0		0.0	1.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0		0.0	1.0		0.0	1.0	0.0	1.0	0.0			1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0		0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0			1.0
Customization	Curated Features			0.0					1.0	1.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0		0.0		0.0	0.0	1.0	1.0	0.0					0.0	0.0	1.0		1.0	0.0	0.0	1.0		0.0		0.0	1.0	0.0	1.0	0.0		0.0		1.0	1.0	1.0	0.0		1.0	1.0	0.0	1.0		1.0		0.0	1.0	1.0	1.0	0.0	0.0	0.0			1.0	0.0	0.0	1.0	0.0		0.0	1.0				0.0	0.0	0.0		0.0	0.0		1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0		0.0				0.0				0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
Customization	Custom Fields	0.0		1.0					1.0	1.0	1.0	1.0			0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0		0.0	0.0	0.0	0.0	1.0	1.0	0.0		1.0	0.0		0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0		1.0	1.0	0.0	0.0	0.0	1.0	1.0		0.0		0.0	0.0	1.0	0.0		0.0	1.0	0.0	1.0		1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0		1.0	1.0	0.0	1.0	1.0	1.0		0.0	1.0				0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0		0.0				1.0		0.0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
Customization	Custom Labels	0.0	0.0	1.0	1.0		0.0		0.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0		0.0	0.0	0.0	1.0	0.0	1.0			1.0	0.0		1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0		0.0	1.0	1.0	1.0	0.0	1.0	1.0		0.0		0.0	0.0	1.0	0.0	0.0		1.0	0.0	0.0		1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0		1.0			1.0	1.0	0.0	0.0	0.0	1.0				0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0				1.0	0.0	1.0		0.0		0.0		1.0		0.0		1.0	1.0	1.0			1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Customization	Custom User Interface		1.0	1.0	0.0	0.0	0.0	1.0			0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0					1.0	1.0	1.0	0.0	0.0	0.0		1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0		0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0		0.0	0.0	0.0	0.0		1.0	0.0	0.0	1.0
