g	f	24SevenOffice	4PM	5PM	Active Collab	Agile Bench	AgileWrap	AgileZen	Apptivo Projects	Asana	Assembla	Axosoft	Basecamp 3	Breeze	Brightpod	Cerebro	Clarizen	Collabtive	Crocagile	DevPlanner	Dolphinity Organiser	Easy Redmine	EasyProject	EasyProjects	EcoSys EPC	Endeavour	Feng Office	Flying Donut	FogBugz	GanttProject	Gemini	Genius Project	Getquantify	Glasscubes	Hansoft	Happytodos	Huddle	HumanEdj	Hydra PSA	Hyperoffice	Innotas	JIRA	KanbanTool	KeyedIn Projects	LeaderTask	Mavenlink	Merlin Project	Microsoft Project	MindManager	Mingle	MinuteMan	MÃ©tier	OmniPlan	OneDesk	OnePMO	OnlyOffice	OpenAir	OrangeScrum	PMware	PPM Litecycle	Pivotal Tracker	Planbox	Planisware	PlanningForce	Podio	ProTasker	ProWorkflow	Producteev	ProjeQtOr	Project Insight	Project Portfolio Office	Project X	Project.net	ProjectLibre	ProjectManager.com	Projecturf	ProofHub	Psoda	Pure Project Tools	QL Project	QuickBase	RationalPlan	Redbooth	SAP ERP	Sciforma	ScrumNinja	Seavus Project Viewer	Service Desktop Pro	Smart WorkTime Tracker	Smartsheet	SoftAgile	SpiraPlan	Steelray	TaskJuggler	TeamPulse	Teamwork Projects	Tenrox	Todoist	Trac	Trakeze	Trello	Trigger	Twproject	Unanet	UniPhi	Virage Project Monitor	Virtual Ticket	VisionProject	Visma Severa	Vorex PSA	Waypoint	Webplanner	Wimi	Workfront	Wrike	Yodiz	ZilicusPM	ZingProject	]project-open[	dotProject	eStudio	hiTask	iCoordinator	iMeet Central	iTaskX	onepoint PROJECTS	tinyPM
Customization	Software Development Kit	0.0				0.0					0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0					0.0	1.0	0.0	0.0											0.0			1.0		0.0	0.0	1.0	0.0						1.0	0.0		0.0	1.0					0.0		0.0			0.0					1.0	0.0			0.0			0.0	0.0	1.0		0.0	1.0	0.0	1.0		0.0		0.0	0.0			0.0			0.0											0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0				
Issue Tracking	Code Integration		0.0			1.0		0.0			1.0	1.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	1.0		1.0	0.0	1.0	0.0		0.0	0.0	1.0	1.0	0.0	0.0			0.0		0.0	1.0		1.0	0.0	1.0	1.0	0.0	0.0		0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0	1.0	0.0	0.0	0.0	0.0		0.0		1.0	1.0	0.0	0.0	0.0		1.0	0.0	1.0		1.0	0.0	0.0		0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0		1.0		0.0		0.0	0.0	0.0	1.0	0.0	0.0	0.0		0.0		0.0	1.0	1.0		1.0		0.0		0.0		0.0	1.0	1.0	0.0	0.0			0.0		0.0	0.0	
Issue Tracking	Escalation Management			0.0											0.0		1.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0			0.0				1.0	0.0		0.0			0.0					0.0		0.0					0.0	0.0	1.0							1.0	1.0		0.0	1.0		0.0			1.0	0.0									1.0	0.0	0.0		0.0			0.0				0.0			0.0		0.0		0.0				0.0	0.0	1.0			1.0						1.0		0.0	0.0		0.0	0.0	0.0		0.0		0.0	0.0		0.0	0.0	
Issue Tracking	Issue History		0.0	1.0	1.0	1.0	1.0	0.0		0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0		0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0		0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0		0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0		0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0		1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0		0.0	1.0	0.0
Issue Tracking	Multiple Workflows		0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0		0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0		0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0		0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
Learning and Support	24/7	1.0	1.0	1.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0		1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0		1.0		1.0	0.0	0.0	0.0		0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0		0.0		1.0	1.0	1.0	0.0	0.0	0.0		0.0	0.0			1.0	0.0		0.0	0.0	1.0	0.0		0.0	1.0	0.0	0.0	1.0	0.0	0.0		0.0	1.0	1.0		0.0	1.0	0.0			0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0		1.0	0.0	0.0	1.0	1.0		0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
Learning and Support	Blog		0.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	0.0		1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	0.0	1.0		1.0	1.0	0.0		1.0	1.0	0.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0	0.0		1.0	0.0			1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0			0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0		1.0	1.0	1.0	0.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
Learning and Support	Brochures		0.0	1.0	0.0	0.0	1.0	0.0			0.0	0.0	0.0		1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0		1.0		0.0	1.0	0.0	0.0		0.0	0.0	1.0		0.0	0.0	0.0	1.0	0.0	0.0		0.0			0.0	1.0	1.0	0.0	1.0		0.0	0.0			1.0	0.0		0.0	0.0	0.0	1.0		0.0	1.0	0.0	0.0	0.0	0.0	1.0		1.0	0.0	1.0		0.0	0.0	1.0			0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0		0.0	1.0	0.0	0.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Learning and Support	Email	1.0	1.0	1.0	0.0	1.0	1.0	0.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0		1.0	1.0	0.0	0.0		1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0	1.0		1.0	0.0			1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	0.0	1.0	1.0	0.0	1.0	1.0			0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Learning and Support	FAQ	0.0	1.0	1.0	0.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0		1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0		1.0	0.0	1.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0		1.0	0.0	1.0	1.0	1.0	1.0		1.0	0.0			0.0	0.0		1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0		0.0	0.0	1.0	1.0	0.0	1.0	0.0			1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0		1.0	1.0	0.0	1.0	0.0		1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
Learning and Support	Forums	1.0	0.0	1.0	0.0	0.0	1.0	1.0		0.0	0.0	1.0	0.0		1.0	1.0	1.0	1.0		1.0	0.0		0.0	0.0		1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0		1.0		1.0	0.0	1.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0		1.0		1.0			1.0	0.0	1.0		0.0	0.0			1.0	1.0		0.0	1.0	1.0	1.0		0.0	0.0	0.0	0.0	1.0	1.0	0.0		1.0	0.0	0.0		0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0		1.0	0.0	1.0	1.0	0.0		0.0	0.0	0.0	1.0	1.0	1.0	0.0		1.0	1.0	1.0	1.0		1.0	0.0	0.0	1.0
Learning and Support	Help Desk	1.0	0.0	0.0	0.0	0.0	1.0	0.0		0.0	1.0	1.0	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0		1.0	0.0	1.0	1.0	0.0	0.0		0.0		1.0		0.0	0.0	1.0	0.0		0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0		0.0		1.0	1.0	0.0	1.0	0.0	1.0		1.0	0.0			1.0	0.0		0.0	0.0	0.0	0.0		0.0	1.0	0.0	0.0		1.0	1.0		1.0	0.0	0.0		0.0	1.0	0.0			0.0	1.0	1.0	0.0			1.0	1.0	0.0	0.0		0.0	0.0	0.0	1.0				0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0		1.0	1.0	0.0
Learning and Support	Instructional Videos		0.0	1.0	0.0	0.0	1.0	0.0			1.0	1.0	1.0		1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0		0.0	1.0	0.0	0.0		0.0	1.0	1.0		1.0	1.0	1.0	1.0	0.0	1.0		1.0			1.0	0.0	0.0	0.0	1.0		1.0	1.0			0.0	1.0		1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	0.0	1.0	1.0	1.0	1.0	0.0			0.0	1.0	1.0	1.0			0.0	0.0	0.0	1.0		0.0	1.0	1.0	0.0	0.0		0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
Learning and Support	Knowledge base	0.0	0.0	1.0	0.0	1.0	1.0	1.0		1.0	1.0	1.0	0.0		1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0		1.0	0.0	1.0	1.0		0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0		0.0		0.0	0.0	0.0	1.0	1.0	1.0		1.0	1.0			0.0	1.0		1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0			0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0		0.0	0.0	1.0	1.0	1.0		0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Learning and Support	Live chat	1.0	1.0	1.0	0.0		0.0	0.0		0.0	1.0	1.0	1.0		0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	1.0	0.0			0.0		0.0		1.0	1.0	0.0	0.0		0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0		1.0		1.0	0.0	1.0	0.0	1.0	0.0		0.0	1.0			0.0	0.0		0.0	0.0	0.0	0.0		1.0	0.0	0.0	1.0		0.0	0.0		1.0				0.0	0.0	0.0			0.0	0.0	0.0	1.0			0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0				0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0		0.0	0.0	1.0
Learning and Support	Mailing List							0.0		0.0	0.0	0.0					1.0	0.0		0.0	0.0			0.0							0.0	0.0	0.0												0.0	0.0				0.0	0.0	1.0	0.0	0.0		0.0		1.0				0.0	0.0			0.0				0.0								1.0	0.0			0.0			0.0				0.0	0.0				1.0		0.0	0.0	1.0	1.0	0.0						0.0		0.0				1.0		0.0		0.0	0.0		1.0	0.0							
Learning and Support	Normal business hours		0.0	0.0				0.0			0.0	1.0	1.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0			0.0	1.0	0.0		0.0			1.0					0.0		0.0	1.0				0.0	0.0	1.0	0.0	0.0		0.0			1.0	0.0	0.0	0.0	0.0		0.0	0.0			1.0	0.0								1.0	0.0	0.0	0.0	1.0	0.0		0.0				0.0	1.0				0.0		0.0	0.0			0.0	0.0	0.0			0.0	0.0	1.0	0.0	0.0		1.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	
Learning and Support	On-site		1.0	0.0	0.0	0.0	1.0	0.0			1.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0			0.0	1.0		1.0		0.0	1.0		0.0	0.0	0.0		0.0	0.0	1.0	1.0	0.0	0.0		0.0			1.0	0.0	0.0	0.0	1.0		0.0	1.0			1.0	0.0		0.0	0.0	1.0	0.0	1.0		1.0	0.0	0.0	0.0	1.0	1.0		1.0	0.0	1.0	0.0	0.0	0.0	0.0			0.0		0.0	1.0			0.0	0.0	0.0	0.0		0.0	0.0	1.0	1.0	1.0			1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Learning and Support	Online self serve	0.0	0.0	1.0						0.0	1.0	1.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0		0.0		0.0	0.0	0.0	1.0	0.0					1.0		0.0		1.0	1.0		0.0		0.0	1.0	0.0	0.0	0.0	1.0	0.0					1.0	0.0	0.0	1.0	0.0	0.0		0.0				0.0	0.0		1.0	0.0	0.0	0.0			1.0	1.0	0.0	1.0	1.0	0.0		1.0				0.0	1.0	0.0			0.0		1.0	0.0			0.0	0.0	0.0	1.0		0.0		0.0		0.0				0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Learning and Support	Owner's/User Manual			0.0											0.0		1.0	0.0	1.0	0.0	0.0	1.0	0.0		0.0		0.0		0.0	0.0		0.0	0.0					0.0		0.0		1.0	0.0		0.0		0.0		0.0	0.0	0.0	1.0							1.0	0.0		0.0	0.0		0.0				1.0			0.0		0.0	0.0			1.0	0.0	0.0		1.0			1.0				0.0					0.0		0.0		0.0	1.0	0.0	0.0	0.0			1.0								0.0	0.0		0.0	0.0	0.0		0.0		0.0	1.0		0.0	1.0	
Learning and Support	Phone	1.0	1.0	1.0	1.0	1.0	1.0	0.0			1.0	1.0	0.0		0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0		1.0	1.0	0.0	0.0		0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0			1.0	1.0	0.0	1.0	1.0		0.0	1.0			0.0	1.0		1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0		1.0	1.0	1.0	0.0	1.0	1.0	1.0			0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
Learning and Support	Podcasts																0.0	0.0														1.0																		0.0													0.0																			0.0			0.0																													0.0						0.0							
Learning and Support	Recorded demos		0.0	1.0	0.0	0.0	1.0	0.0		0.0	0.0	1.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0		1.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0		1.0		1.0	0.0	1.0	0.0	0.0	0.0		0.0	0.0			1.0	1.0		0.0	0.0	1.0	1.0		1.0	1.0	0.0	0.0		0.0	1.0		1.0	0.0	0.0		1.0	1.0	0.0			0.0	0.0	0.0	1.0			1.0	0.0	1.0	0.0		0.0	0.0	1.0	1.0			0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0		1.0	1.0	1.0
Learning and Support	Remote Training	0.0		0.0							0.0	0.0			0.0		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1.0			0.0	0.0	0.0		0.0	0.0		0.0			1.0				0.0			1.0		0.0	0.0	1.0	0.0						1.0	0.0		0.0	0.0		1.0					0.0							0.0	1.0	0.0			0.0			0.0				0.0	1.0				0.0	0.0	0.0	0.0			0.0					0.0						0.0		0.0	0.0		0.0	0.0	0.0	1.0	0.0		0.0	0.0				
Learning and Support	Request form		0.0	1.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0		0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0			1.0		0.0		0.0	1.0		0.0	1.0	0.0		1.0	0.0	0.0	1.0	0.0	0.0		1.0		1.0	1.0	0.0	0.0	0.0	1.0		1.0	0.0			1.0	0.0		1.0	1.0	1.0	0.0			1.0	0.0	1.0	1.0	0.0	1.0		0.0	0.0	1.0		0.0	1.0	0.0			0.0		1.0	0.0			1.0	1.0	1.0	1.0		0.0	0.0	1.0	1.0	0.0		0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
Learning and Support	Show More																																																																																									0.0																									0.0												
Learning and Support	System upgrades			0.0				0.0			0.0	1.0			0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0		1.0		0.0	0.0	0.0	1.0	0.0			0.0		1.0		0.0	0.0	0.0	0.0		0.0	1.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0		0.0			1.0	0.0		0.0	1.0		0.0	0.0			0.0	0.0		0.0	0.0	0.0	0.0		1.0	1.0	0.0	0.0		0.0			0.0				0.0	0.0	0.0			0.0	1.0	0.0	0.0			0.0	0.0	0.0	1.0		0.0	0.0		0.0				0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0		0.0	1.0	
Learning and Support	Tips and hints		1.0	1.0	0.0		0.0	0.0			1.0	1.0	0.0		1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	1.0	0.0					1.0		0.0		0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0		0.0			1.0	0.0	0.0	0.0	0.0		0.0	1.0			1.0	0.0		0.0	0.0	0.0	1.0			1.0	0.0	0.0		0.0	0.0		0.0				0.0	1.0	0.0			0.0		0.0	0.0			0.0	1.0	1.0	1.0		0.0	0.0	0.0	0.0				0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0
Learning and Support	Webinars		0.0	1.0	1.0	0.0	0.0	0.0			0.0	1.0	0.0		1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0		1.0	1.0	1.0			0.0	1.0	0.0		1.0	1.0	0.0	1.0	0.0	1.0		0.0			0.0	0.0	0.0	0.0	0.0		0.0	0.0				1.0		0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0		1.0	0.0	1.0		1.0	0.0	0.0	0.0	0.0	1.0	0.0			0.0	1.0	0.0	1.0	1.0	0.0	0.0			1.0		0.0	0.0	1.0	1.0	0.0		0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0			0.0
Learning and Support	White papers										0.0	0.0				0.0	1.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0			0.0	1.0			1.0	1.0	0.0			0.0		0.0		1.0	0.0	0.0	1.0	0.0						1.0	0.0		1.0	1.0							1.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			0.0			1.0			1.0	0.0	0.0	0.0			0.0	0.0	0.0	1.0			0.0			0.0											0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0		0.0				
Learning and Support	Wiki			0.0	0.0	0.0	1.0				0.0	0.0			1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0			0.0		0.0		0.0			0.0		0.0		0.0	0.0	0.0	1.0	0.0						0.0	1.0		0.0	0.0		0.0					0.0		0.0	1.0	0.0	0.0			0.0	1.0			0.0			0.0	0.0	0.0		0.0	0.0	0.0			1.0		0.0	0.0	0.0	1.0	0.0			0.0		0.0						1.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0				1.0
Main Functionality	Agile Project Management					1.0																				1.0								0.0																																		1.0																		1.0	1.0			1.0		1.0																																			
Main Functionality	Budgeting					0.0																				1.0								1.0																																		1.0																		0.0	1.0			1.0		1.0																																			
Main Functionality	Collaboration					1.0																				1.0								1.0																																		1.0																		0.0	1.0			1.0		1.0																																			
Main Functionality	Customization					0.0																				0.0								1.0																																		1.0																		0.0	1.0			1.0		1.0																																			
Main Functionality	Issue Tracking					0.0																				1.0								1.0																																		1.0																		1.0	1.0			1.0		1.0																																			
Main Functionality	Learning and Support					0.0																				1.0								1.0																																		1.0																		0.0	1.0			1.0		1.0																																			
Main Functionality	Notifications					1.0																				1.0								1.0																																		1.0																		0.0	0.0			1.0		1.0																																			
Main Functionality	Reporting					1.0																				1.0								1.0																																		1.0																		0.0	1.0			1.0		1.0																																			
